--- PSX Execution Trace ---
[09917] PC: 0x80001018  Inst: 0x00000000
[09918] PC: 0x8000101C  Inst: 0x00000000
[09919] PC: 0x80001000  Inst: 0x3C088000
[09920] PC: 0x80001004  Inst: 0x35082000
[09921] PC: 0x80001008  Inst: 0x8D000000
[09922] PC: 0x8000100C  Inst: 0x00000000
[09923] PC: 0x80001010  Inst: 0x00000000
[09924] PC: 0x80001000  Inst: 0x3C088000
[09925] PC: 0x80001004  Inst: 0x35082000
[09926] PC: 0x80001008  Inst: 0x89090005
[09927] PC: 0x8000100C  Inst: 0x99090002
[09928] PC: 0x80001010  Inst: 0x00000000
[09929] PC: 0x80001014  Inst: 0x00000000
[09930] PC: 0x80001000  Inst: 0x3C088000
[09931] PC: 0x80001004  Inst: 0x35082000
[09932] PC: 0x80001008  Inst: 0x3C090000
[09933] PC: 0x8000100C  Inst: 0x35292000
[09934] PC: 0x80001010  Inst: 0x3C0AA000
[09935] PC: 0x80001014  Inst: 0x354A2000
[09936] PC: 0x80001018  Inst: 0x3C0BCAFE
[09937] PC: 0x8000101C  Inst: 0x356BF00D
[09938] PC: 0x80001020  Inst: 0xAD0B0000
[09939] PC: 0x80001024  Inst: 0x8D2C0000
[09940] PC: 0x80001028  Inst: 0x8D4D0000
[09941] PC: 0x8000102C  Inst: 0x00000000
[09942] PC: 0x80001030  Inst: 0x00000000
[09943] PC: 0x80001000  Inst: 0x3C088000
[09944] PC: 0x80001004  Inst: 0x35082000
[09945] PC: 0x80001008  Inst: 0x3C098020
[09946] PC: 0x8000100C  Inst: 0x35292000
[09947] PC: 0x80001010  Inst: 0x3C0B1234
[09948] PC: 0x80001014  Inst: 0x356B5678
[09949] PC: 0x80001018  Inst: 0xAD0B0000
[09950] PC: 0x8000101C  Inst: 0x8D2C0000
[09951] PC: 0x80001020  Inst: 0x00000000
[09952] PC: 0x80001024  Inst: 0x00000000
[09953] PC: 0x80001028  Inst: 0x00000000
[09954] PC: 0x80001000  Inst: 0x3C081F80
[09955] PC: 0x80001004  Inst: 0x35080000
[09956] PC: 0x80001008  Inst: 0x3C09FEED
[09957] PC: 0x8000100C  Inst: 0x3529FACE
[09958] PC: 0x80001010  Inst: 0xAD090000
[09959] PC: 0x80001014  Inst: 0x8D0A0000
[09960] PC: 0x80001018  Inst: 0x00000000
[09961] PC: 0x8000101C  Inst: 0x00000000
[09962] PC: 0x80001000  Inst: 0x3C081F80
[09963] PC: 0x80001004  Inst: 0x35081074
[09964] PC: 0x80001008  Inst: 0x3C090000
[09965] PC: 0x8000100C  Inst: 0x35290501
[09966] PC: 0x80001010  Inst: 0xAD090000
[09967] PC: 0x80001014  Inst: 0x8D0A0000
[09968] PC: 0x80001018  Inst: 0x00000000
[09969] PC: 0x8000101C  Inst: 0x00000000
[09970] PC: 0x80001000  Inst: 0x3C089F80
[09971] PC: 0x80001004  Inst: 0x35081074
[09972] PC: 0x80001008  Inst: 0x3C090000
[09973] PC: 0x8000100C  Inst: 0x35290501
[09974] PC: 0x80001010  Inst: 0xAD090000
[09975] PC: 0x80001014  Inst: 0x8D0A0000
[09976] PC: 0x80001018  Inst: 0x00000000
[09977] PC: 0x8000101C  Inst: 0x00000000
[09978] PC: 0x80001000  Inst: 0x3C08BF80
[09979] PC: 0x80001004  Inst: 0x35081074
